device,accuracy,val_accuracy,loss,val_loss,day,execute_time_seconds,evaluate_time_seconds,is_model_changed,evaluate_accuracy
0,0.7631579,0.8277311,0.5507456878611916,0.329054223994414,0,489.0364580154419,101.11543917655943,1.0,0.8781512379646301
1,0.75473684,0.8655462,0.6138305813074112,0.3032797902822494,0,458.7873086929321,90.88077020645142,1.0,0.8655462265014648
2,0.78105265,0.85714287,0.5267919982734479,0.3464275288085143,0,462.47753739357,92.98507976531982,1.0,0.8613445162773132
3,0.7842105,0.78571427,0.4943484963868794,0.4138331492741903,0,465.1596200466156,90.79901504516602,1.0,0.8151260614395142
4,0.7768421,0.78571427,0.5371814947379263,0.4889370361963908,0,462.2739992141724,94.0772421360016,1.0,0.8361344337463379
5,0.7936842,0.85714287,0.4844364581610027,0.3502589364846547,0,464.08014392852783,90.35648202896118,0.0,0.831932783126831
6,0.79263157,0.81092435,0.5097084731177279,0.5061629851659138,0,463.6780927181244,90.6723792552948,1.0,0.819327712059021
7,0.7831579,0.74369746,0.546769457867271,0.5810643374919892,0,467.929003238678,90.43847155570984,1.0,0.8235294222831726
8,0.74,0.8277311,0.5939687569517839,0.3673322478930155,0,468.2398121356964,94.64429759979248,1.0,0.894957959651947
9,0.7736842,0.79831934,0.5334806500610553,0.4411723514397939,0,466.0337481498718,92.04918265342712,1.0,0.8445377945899963
10,0.7852632,0.8193277,0.5208904231222052,0.359088729818662,0,462.7461037635803,89.25892925262451,1.0,0.8277310729026794
11,0.7505263,0.74369746,0.5845039266034177,0.5025876303513844,0,463.5127909183502,88.76410007476807,1.0,0.819327712059021
12,0.75578946,0.78571427,0.5931869621025888,0.4097411602735519,0,466.5582942962647,89.77217936515808,1.0,0.848739504814148
13,0.75473684,0.8193277,0.5891827356187921,0.4459660589694977,0,467.5036733150482,91.75541162490843,1.0,0.8361344337463379
14,0.78842103,0.7815126,0.5305225014059167,0.5116442183653513,0,468.0313613414765,91.51343488693236,1.0,0.8235294222831726
15,0.76842105,0.7941176,0.5394460622887862,0.4507519026597341,0,466.4055325984955,90.05480480194092,1.0,0.8445377945899963
16,0.7852632,0.79831934,0.5477394967330129,0.464172351360321,0,465.26702976226807,86.89205431938171,1.0,0.848739504814148
17,0.7473684,0.8865546,0.5908900074582351,0.292174498240153,0,466.5390329360962,88.12180924415588,0.0,0.8571428656578064
18,0.7831579,0.83613443,0.4931901798750225,0.3184032057722409,0,468.5196557044983,87.08770990371704,1.0,0.8613445162773132
19,0.8063158,0.7647059,0.4981385525904204,0.537124036749204,0,464.9232354164124,87.47544527053833,1.0,0.8151260614395142
0,0.8715789318084717,0.8865545988082886,0.3018908508827811,0.2714166879653931,1,423.51582884788513,90.1437282562256,1.0,0.8991596698760986
1,0.9115789532661438,0.9075630307197572,0.2386423103432906,0.2282789538304011,1,423.6438958644867,90.18213820457458,0.0,0.8991596698760986
2,0.781052649,0.8571428657,0.5267919983,0.3464275288,1,418.562075138092,102.76841878890993,1.0,0.894957959651947
3,0.8568421006202698,0.8277310729026794,0.3130334290626801,0.3903928289810816,1,423.1243813037872,86.70218253135681,1.0,0.848739504814148
4,0.8736842274665833,0.8739495873451233,0.2980652496689244,0.3064830789963404,1,424.1724667549133,90.17603945732117,0.0,0.8697478771209717
5,0.7936841846,0.8571428657,0.4844364582,0.3502589365,1,431.8273890018463,87.73645567893982,1.0,0.8739495873451233
6,0.7926315665,0.8109243512,0.5097084731,0.5061629852,1,419.16109681129456,86.7365300655365,1.0,0.8571428656578064
7,0.8684210777282715,0.8277310729026794,0.3217288775193064,0.437443353732427,1,424.80626487731934,87.01738166809082,1.0,0.8361344337463379
8,0.8999999761581421,0.9201680421829224,0.2511507334207233,0.2069714566071828,1,428.0952351093292,89.22253704071045,0.0,0.9201680421829224
9,0.878947377204895,0.9369747638702391,0.281353731029912,0.2173805378377437,1,420.7701783180237,87.59920763969421,0.0,0.8781512379646301
10,0.878947377204895,0.8361344337463379,0.2700926545732899,0.3786281377077102,1,419.1528148651123,87.39727306365967,1.0,0.8697478771209717
11,0.8799999952316284,0.8655462265014648,0.2943161948103653,0.3198430399099985,1,421.436154127121,85.13755464553833,0.0,0.848739504814148
12,0.8863157629966736,0.8571428656578064,0.2798110845841859,0.2946531424919764,1,419.5279111862183,87.29172539710999,1.0,0.8697478771209717
13,0.8894736766815186,0.8697478771209717,0.2840740792374862,0.2927456033726533,1,420.7632465362549,86.67125940322876,1.0,0.8991596698760986
14,0.8747368454933167,0.848739504814148,0.2895126030319615,0.331733118991057,1,419.83605337142944,84.45322155952454,1.0,0.8739495873451233
15,0.8999999761581421,0.8235294222831726,0.2716538709872647,0.4000625511010487,1,424.2097117900848,88.28732132911682,1.0,0.894957959651947
16,0.8715789318084717,0.8445377945899963,0.2999958806916287,0.3451415752371152,1,420.0292086601257,84.76449847221375,1.0,0.8865545988082886
17,0.8863157629966736,0.9033613204956056,0.2916738066547795,0.2286415750781695,1,431.9592111110687,89.38419198989868,0.0,0.8823529481887817
18,0.8831579089164734,0.8571428656578064,0.2752009578755027,0.3224006752173106,1,422.70844888687134,86.01164412498474,1.0,0.9033613204956056
19,0.8684210777282715,0.8235294222831726,0.3010029307478352,0.4539862463871638,1,422.6416957378388,87.76215147972107,1.0,0.8529411554336548
0,0.8715789318,0.8865545988,0.3018908509,0.271416688,2,415.8313031196594,100.91917634010316,1.0,0.8991596698760986
1,0.9115789533,0.9075630307,0.2386423103,0.2282789538,2,429.4539821147919,86.95633459091187,0.0,0.9033613204956056
2,0.781052649,0.8571428657,0.5267919983,0.3464275288,2,420.7730581760407,91.0270504951477,1.0,0.9033613204956056
3,0.9105263352394104,0.8823529481887817,0.2343166593501442,0.2805473417043685,2,422.37086629867554,88.80501508712769,0.0,0.8613445162773132
4,0.8736842275,0.8739495873,0.2980652497,0.306483079,2,430.8435091972351,90.01754474639893,1.0,0.8823529481887817
5,0.9031578898429872,0.8697478771209717,0.2693553668260574,0.2818320217231909,2,427.9726505279541,87.54634642601013,1.0,0.8823529481887817
6,0.9084210395812988,0.8865545988082886,0.2279980037165315,0.3016548896829287,2,424.04167461395264,88.59507846832275,0.0,0.8655462265014648
7,0.8684210777,0.8277310729,0.3217288775,0.4374433537,2,420.0667040348053,90.41321754455566,1.0,0.8529411554336548
8,0.8999999762,0.9201680422,0.2511507334,0.2069714566,2,435.7747330665589,89.40988421440125,1.0,0.9327731132507324
9,0.8789473772,0.9369747639,0.281353731,0.2173805378,2,434.45230984687805,87.03994488716125,0.0,0.8865545988082886
10,0.9021052718162536,0.8445377945899963,0.2719959625444914,0.3097059269746144,2,425.03460931777954,92.3280107975006,1.0,0.8781512379646301
11,0.8799999952,0.8655462265,0.2943161948,0.3198430399,2,435.4965250492096,86.65761160850525,0.0,0.8529411554336548
12,0.886315763,0.8571428657,0.2798110846,0.2946531425,2,428.3937590122223,87.86870622634888,1.0,0.8739495873451233
13,0.921052634716034,0.9201680421829224,0.2092487409867738,0.2626138791441917,2,435.9289827346802,88.243332862854,0.0,0.9159663915634156
14,0.8968421220779419,0.8655462265014648,0.2626566962505641,0.3214008341232935,2,431.8346476554871,87.43422532081604,1.0,0.8781512379646301
15,0.9200000166893004,0.8781512379646301,0.2082916416933662,0.2730049215257167,2,432.3631880283356,89.58077383041382,1.0,0.9033613204956056
16,0.8715789318,0.8445377946,0.2999958807,0.3451415752,2,425.5019903182984,85.65090250968933,1.0,0.8991596698760986
17,0.886315763,0.9033613205,0.2916738067,0.2286415751,2,439.1034028530121,88.49647831916809,0.0,0.9033613204956056
18,0.8831579089,0.8571428657,0.2752009579,0.3224006752,2,427.8535718917847,87.03999495506287,1.0,0.9033613204956056
19,0.9189473390579224,0.8697478771209717,0.2160329813392539,0.3536862850189209,2,434.05258679389954,85.78691244125366,0.0,0.8571428656578064
0,0.8715789318,0.8865545988,0.3018908509,0.271416688,3,417.6667649745941,90.6410584449768,1.0,0.9075630307197572
1,0.8863157629966736,0.9075630307197572,0.2657162118271777,0.2440000891685486,3,438.8115479946137,89.02883124351501,1.0,0.911764681339264
2,0.9042105078697203,0.8697478771209717,0.2459102491014882,0.2940248439709345,3,428.6308629512787,91.39484429359436,1.0,0.9075630307197572
3,0.9021052718162536,0.8865545988082886,0.2626907955031646,0.2974470605452855,3,425.73640513420105,92.05763578414916,0.0,0.8697478771209717
